"","addit1","addit2","addit3","addit4","addit5","addit6","addit7","addit8","subtr1","subtr2","subtr3","subtr4","subtr5","subtr6","subtr7","subtr8","class","time"
"1",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"second",39
"2",1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,"second",37
"3",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,"second",34
"4",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"second",28
"5",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,"second",32
"6",1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,"second",27
"7",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"second",27
"8",1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,"second",30
"9",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,"second",36
"10",1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,"second",34
"11",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,"second",47
"12",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"second",38
"13",0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,"second",52
"14",1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,"second",43
"15",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"second",45
"16",1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,"second",40
"17",1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,"second",44
"18",1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,"second",34
"19",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"second",33
"20",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"second",45
"21",1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,"second",45
"22",1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,"second",40
"23",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"second",44
"24",1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,"second",36
"25",1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,"second",33
"26",1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,"second",44
"27",1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,"second",40
"28",1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,"second",28
"29",1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,"second",26
"30",1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,"second",23
"31",1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,"second",26
"32",1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,"second",26
"33",1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,"second",31
"34",1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,"second",36
"35",1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,"second",33
